date,count
2010-01-01,1
2010-04-01,2
2011-02-01,2
2011-10-01,1
2012-04-01,9
2012-06-01,3
2012-07-01,1
2012-11-01,3
2013-01-01,2
2013-02-01,6
2013-05-01,1
2013-08-01,2
2013-09-01,4
2013-10-01,4
2013-11-01,4
2013-12-01,10
2014-01-01,40
2014-02-01,10
2014-03-01,22
2014-04-01,21
2014-05-01,14
2014-06-01,11
2014-07-01,34
2014-08-01,34
2014-09-01,23
2014-10-01,28
2014-11-01,22
2014-12-01,9
2015-01-01,24
2015-02-01,22
2015-03-01,40
2015-04-01,31
2015-05-01,32
2015-06-01,37
2015-07-01,31
2015-08-01,77
2015-09-01,44
2015-10-01,53
2015-11-01,104
2015-12-01,55
2016-01-01,59
2016-02-01,68
2016-03-01,77
2016-04-01,83
2016-05-01,87
2016-06-01,116
2016-07-01,79
2016-08-01,99
2016-09-01,118
2016-10-01,127
2016-11-01,103
2016-12-01,132
2017-01-01,161
2017-02-01,130
2017-03-01,158
2017-04-01,182
2017-05-01,193
2017-06-01,142
2017-07-01,178
2017-08-01,194
2017-09-01,197
2017-10-01,235
2017-11-01,212
2017-12-01,264
2018-01-01,322
2018-02-01,272
2018-03-01,313
2018-04-01,434
2018-05-01,364
2018-06-01,350
2018-07-01,410
2018-08-01,525
2018-09-01,368
2018-10-01,535
2018-11-01,594
2018-12-01,535
2019-01-01,580
2019-02-01,515
2019-03-01,636
2019-04-01,483
2019-05-01,683
2019-06-01,558
2019-07-01,512
2019-08-01,521
2019-09-01,504
2019-10-01,508
2019-11-01,533
2019-12-01,496
2020-01-01,497
2020-02-01,539
2020-03-01,2
